rad_name_ja,grade,hint_group,kunyomi,meaning,kstroke,examples,kunyomi_ja,ka_utf,rad_order,txt_books,kname,rad_utf,dick,rad_name,dicn,mn_hint,rad_stroke,onyomi_ja,rad_meaning,onyomi,ka_id,rad_position_ja,rad_position
"むし",6.0,1.0,"kaiko","silkworm",10.0,"[ [ ""蚕糸 (さんし)"", ""silk thread, silk yarn"" ], [ ""養蚕 (ようさん)"", ""sericulture, silkworm culture"" ], [ ""蚕食する (さんしょくする)"", ""encroach, invade"" ], [ ""蚕 (かいこ)"", ""silkworm"" ] ]","かいこ","蚕",174.0,"[]","kaiko","⾍",1589.0,"mushi",57.0,"The heavenly 天 insect 虫.",6.0,"サン","worm, insect, bug","san","ka_1060","",""
"いたる",6.0,1.0,"ita, itaru","come to, arrive, lead to",6.0,"[ [ ""至急 (しきゅう)"", ""urgent, pressing"" ], [ ""至上 (しじょう)"", ""supremacy"" ], [ ""至難 (しなん)"", ""most difficult, next to impossible"" ], [ ""至極 (しごく)"", ""very, extremely, exceedingly"" ], [ ""夏至 (げし)"", ""summer solstice"" ], [ ""冬至 (とうじ)"", ""winter solstice"" ], [ ""必至 (ひっし)"", ""inevitable, desperate"" ], [ ""至る (いたる)"", ""come, arrive"" ], [ ""至る所 (いたるところ)"", ""everywhere"" ] ]","いた、いたる","至",167.0,"[ { ""chapter"" : ""11"", ""txt_bk"" : ""jtr"" } ]","shi-ita(ru)","⾄",1382.0,"itaru",3845.0,"Individual ム born on earth 土 arriving to heaven 一.",6.0,"シ","to arrive, reach","shi","ka_1061","",""
"おんな",6.0,1.0,"sugata","figure, form, shape, appearance, posture",9.0,"[ [ ""姿勢 (しせい)"", ""attitude, posture"" ], [ ""姿態 (したい)"", ""figure, form, style"" ], [ ""容姿 (ようし)"", ""appearance, figure"" ], [ ""雄姿 (ゆうし)"", ""gallant figure"" ], [ ""姿 (すがた)"", ""figure, shape, appearance"" ], [ ""姿見 (すがたみ)"", ""full-length mirror"" ], [ ""後ろ姿 (うしろすがた)"", ""back view"" ] ]","すがた","姿",44.0,"[ { ""chapter"" : ""13"", ""txt_bk"" : ""jtr"" } ]","sugata","⼥",1684.0,"onna",1215.0,"Kabuki actor preparing for his next 次 appearance on stage impersonating a woman 女.",3.0,"シ","woman","shi","ka_1062","",""
"みる",6.0,1.0,"n/a","regard, consider, see, vision",11.0,"[ [ ""視野 (しや)"", ""field of vision, outlook"" ], [ ""視界 (しかい)"", ""field of vision"" ], [ ""視力 (しりょく)"", ""eyesight"" ], [ ""視点 (してん)"", ""point of view"" ], [ ""視聴者 (しちょうしゃ)"", ""viewer, audience"" ], [ ""警視庁 (けいしちょう)"", ""police headquarters"" ], [ ""近視 (きんし)"", ""shortsightedness"" ], [ ""視察する (しさつする)"", ""inspect, observe"" ], [ ""軽視する (けいしする)"", ""think little of, ignore, slight"" ], [ ""無視する (むしする)"", ""disregard, ignore"" ], [ ""監視する (かんしする)"", ""observe, guard, inspect"" ], [ ""重視する (じゅうしする)"", ""regard highly"" ] ]","","視",179.0,"[ { ""chapter"" : ""22"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""22"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""txtIKB"" }, { ""txt_bk"" : ""mosr"", ""chapter"" : ""6"" } ]","shi(ya)","⾒",662.0,"miru",3248.0,"Altar ネ held in high regard 見; pray at the altar ネ to recover one's eyesight 見.",7.0,"シ","to see","shi","ka_1063","",""
"いしへん",6.0,2.0,"n/a","magnetism, magnetic",14.0,"[ [ ""磁石 (じしゃく)"", ""magnet"" ], [ ""磁力 (じりょく)"", ""magnetism, magnetic force"" ], [ ""磁気 (じき)"", ""magnetism"" ], [ ""磁場 (じば)"", ""magnetic field"" ], [ ""磁極 (じきょく)"", ""magnetic pole"" ], [ ""磁器 (じき)"", ""porcelain, china"" ], [ ""電磁波 (でんじは)"", ""electromagnetic waves"" ] ]","","磁",143.0,"[]","ji(ryoku)","",821.0,"ishihen",3209.0,"Stone 石 issuing out  [13] <span class='note'>(orig. ""sprouting"")</span> magnetic waves like threads 幺幺.",5.0,"ジ","stone","ji","ka_1064","へん","hen"
"きへん",6.0,2.0,"n/a","standing tree, bush",16.0,"[ [ ""樹木 (じゅもく)"", ""trees and shrubs, arbour"" ], [ ""樹脂 (じゅし)"", ""resin"" ], [ ""樹氷 (じゅひょう)"", ""frost covered trees"" ], [ ""樹海 (じゅかい)"", ""sea of trees"" ], [ ""樹皮 (じゅひ)"", ""bark"" ], [ ""植樹 (しょくじゅ)"", ""tree-planting"" ], [ ""果樹園 (かじゅえん)"", ""orchard"" ], [ ""街路樹 (がいろじゅ)"", ""roadside trees"" ], [ ""樹立する (じゅりつする)"", ""establish, found, set up"" ] ]","","樹",98.0,"[]","ju(moku)","",735.0,"kihen",2377.0,"To plant a tree 木, professional 士 gardener makes a hole 口, cuts the weeds [13] around and makes measurements 寸.",4.0,"ジュ","tree, wood","ju","ka_1065","へん","hen"
"うかんむり",6.0,1.0,"n/a","religious sect, religion",8.0,"[ [ ""宗教 (しゅうきょう)"", ""religion"" ], [ ""宗派 (しゅうは)"", ""sect, denomination"" ], [ ""浄土宗 (じょうどしゅう)"", ""Pure Land sect, Jodo"" ], [ ""天台宗 (てんだいしゅう)"", ""Tendai sect"" ], [ ""真言宗 (しんごんしゅう)"", ""mantra sect, Shingon"" ], [ ""改宗する (かいしゅうする)"", ""convert oneself [v.i.]"" ], [ ""宗家 (そうけ)"", ""head family of families"" ] ]","","宗",48.0,"[ { ""chapter"" : ""8"", ""txt_bk"" : ""txtAd4"" }, { ""chapter"" : ""8"", ""txt_bk"" : ""txtSFJ4"" }, { ""chapter"" : ""6"", ""txt_bk"" : ""jtr"" } ]","shuu(kyou)","⼧",1419.0,"ukanmuri",1294.0,"Altar 示 under a roof  宀.",3.0,"シュウ、ソウ","roof, house","shuu, sou","ka_1066","かんむり","kanmuri"
"だいのまげあし",6.0,1.0,"tsu, tsuku","set about, engage (in an occupation), employ",12.0,"[ [ ""就業時間 (しゅうぎょうじかん)"", ""working hours"" ], [ ""就職する (しゅうしょくする)"", ""find employment"" ], [ ""就任する (しゅうにんする)"", ""assume office, be inaugurated"" ], [ ""就航する (しゅうこうする)"", ""go into peration (ship, plane)"" ], [ ""就学する (しゅうがくする)"", ""enter school, attend school"" ], [ ""就労する (しゅうろうする)"", ""go to work, be at work"" ], [ ""成就する (じょうじゅする)"", ""realize, complete"" ], [ ""就ける (つける)"", ""put, place [v.t.]"" ], [ ""就く (つく)"", ""take (a job) [v.i.]"" ] ]","つ、つく","就",52.0,"[ { ""chapter"" : ""9"", ""txt_bk"" : ""jtr"" }, { ""txt_bk"" : ""cijr"", ""chapter"" : ""23"" } ]","shuu-tsu(ku)","⺐",1113.0,"dainomageashi",323.0,"Receiving employment in the capital 京, like a dog 尤 getting a master.",3.0,"シュウ、ジュ","lame leg","shuu, ju","ka_1067","つくり","tsukuri"
"ち",6.0,1.0,"n/a","multitude, populace",12.0,"[ [ ""民衆 (みんしゅう)"", ""people, populace, masses"" ], [ ""大衆 (たいしゅう)"", ""general public"" ], [ ""公衆 (こうしゅう)"", ""the public"" ], [ ""観衆 (かんしゅう)"", ""spectators, onlookers"" ], [ ""聴衆 (ちょうしゅう)"", ""audience, attendance, hearers"" ], [ ""群衆 (ぐんしゅう)"", ""group, crowd, throng, mob"" ], [ ""衆議院 (しゅうぎいん)"", ""Lower House, House of Reps."" ], [ ""アメリカ合衆国 (がっしゅうこく)"", ""the United States of America"" ] ]","","衆",175.0,"[]","(min)shuu","⾎",1724.0,"chi",4210.0,"Butchers collecting the blood 血 of slaughtered pigs 乑: a spectacle attracting the masses.",6.0,"シュウ、シュ","blood","shuu, shu","ka_1068","",""
"いとへん",6.0,1.0,"tate","vertical",16.0,"[ [ ""縦横に (じゅうおうに)"", ""in all directions, freely"" ], [ ""縦断する (じゅうだんする)"", ""cut across, travel through"" ], [ ""縦貫する (じゅうかんする)"", ""traverse, run through"" ], [ ""操縦する (そうじゅうする)"", ""control, operate, pilot"" ], [ ""縦 (たて)"", ""length, height"" ], [ ""縦書き (たてがき)"", ""vertical writing"" ] ]","たて","縦",158.0,"[]","tate","",952.0,"itohen",3597.0,"In vertical/hierarchical relationship 糸, lower person must obey 従.",6.0,"ジュウ","thread","juu","ka_1069","へん","hen"
"もんがまえ",3.0,1.0,"hira, hiraku, a, aku, akeru","open",12.0,"[ [ ""開発する (かいはつする)"", ""develop"" ], [ ""開放する (かいほうする)"", ""throw open"" ], [ ""開設する (かいせつする)"", ""establish"" ], [ ""開閉する (かいへいする)"", ""open and close"" ], [ ""開始する (かいしする)"", ""start"" ], [ ""公開する (こうかいする)"", ""present to the public"" ], [ ""再開する (さいかいする)"", ""reopen"" ], [ ""開く (ひらく)"", ""open [v.i., v.t.]"" ], [ ""開く (あく)"", ""open [v.i.]"" ], [ ""開ける (あける)"", ""open [v.t.]"" ] ]","ひら、ひらく、あ、あく、あける","開",208.0,"[ { ""chapter"" : ""13"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""txtAd3"" }, { ""chapter"" : ""16"", ""txt_bk"" : ""txtGenki"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""3"", ""txt_bk"" : ""txtAP"" }, { ""chapter"" : ""16"", ""txt_bk"" : ""txtLookLearn"" }, { ""txt_bk"" : ""mntr"", ""chapter"" : ""3"" } ]","kai-hira(ku)","⾨",2092.0,"mongamae",4950.0,"Two hands 廾 removing the gate bolt 閂.",8.0,"カイ","gate, door","kai","ka_107","かまえ, もんがまえ","kamae, mongamae"
"いとへん",6.0,1.0,"chiji, chijimu, chijimaru, chijimeru, chijireru, chijirasu","shrink",17.0,"[ [ ""縮尺 (しゅくしゃく)"", ""reduced scale"" ], [ ""軍縮 (ぐんしゅく)"", ""armament reduction"" ], [ ""縮小する (しゅくしょうする)"", ""reduce, curtail"" ], [ ""収縮する (しゅうしゅくする)"", ""deflate, contract, shrink"" ], [ ""伸縮する (しんしゅくする)"", ""expand and contract"" ], [ ""短縮する (たんしゅくする)"", ""shorten, abbreviate"" ], [ ""濃縮する (のうしゅくする)"", ""concentrate (a solution)"" ], [ ""恐縮する (きょうしゅくする)"", ""feel obliged, feel indebted"" ], [ ""縮む (ちぢむ)"", ""shrink, contract [v.i.]"" ], [ ""縮める (ちぢめる)"", ""shrink, contract, shorten [v.t.]"" ], [ ""縮らす (ちぢらす)"", ""curl, crimp [v.t.]"" ], [ ""縮れる (ちぢれる)"", ""be wavy, be curled [v.i.]"" ] ]","ちぢ、ちぢむ、ちぢまる、ちぢめる、ちぢれる、ちぢらす","縮",158.0,"[ { ""chapter"" : ""20"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""20"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""2"", ""txt_bk"" : ""txtIKB"" } ]","chiji(mu)","",955.0,"itohen",3608.0,"At a japanese inn 宿, tall people have to shrink if they want to fit into the short robes 糸 provided.",6.0,"シュク","thread","shuku","ka_1070","へん","hen"
"きにょう",6.0,1.0,"n/a","deal with, treat",5.0,"[ [ ""処女 (しょじょ)"", ""virgin, maiden"" ], [ ""処方箋 (しょほうせん)"", ""prescription"" ], [ ""処置する (しょちする)"", ""treat [v.t.]"" ], [ ""処罰する (しょばつする)"", ""punish"" ], [ ""処刑する (しょけいする)"", ""execute"" ], [ ""処分する (しょぶんする)"", ""dispose of, deal with, punish"" ], [ ""処理する (しょりする)"", ""process, deal with"" ], [ ""対処する (たいしょする)"", ""deal with, cope"" ], [ ""善処する (ぜんしょする)"", ""handle carefully, use discretion"" ] ]","","処",20.0,"[]","sho(chi)","⼏",1918.0,"kinyou",1162.0,"Administrator holding 又 a scepter ノ at his desk 几.",2.0,"ショ","table","sho","ka_1071","つくり","tsukuri"
"よこめ",6.0,1.0,"n/a","public-service station",13.0,"[ [ ""署長 (しょちょう)"", ""chief, head"" ], [ ""署員 (しょいん)"", ""staff member, station employee"" ], [ ""部署 (ぶしょ)"", ""one&apos;s post, one&apos;s station"" ], [ ""警察署 (けいさつしょ)"", ""police station"" ], [ ""消防署 (しょうぼうしょ)"", ""fire station"" ], [ ""税務署 (ぜいむしょ)"", ""tax office"" ], [ ""署名する (しょめいする)"", ""sign (a document)"" ], [ ""代署する (だいしょする)"", ""sign for another"" ] ]","","署",139.0,"[ { ""chapter"" : ""5"", ""txt_bk"" : ""txtIKB"" } ]","(shoubou)sho","",1672.0,"yokome",3642.0,"Overseeing 罒 citizens 者.",5.0,"ショ","eye","sho","ka_1072","かんむり","kanmuri"
"ごんべん",6.0,1.0,"n/a","various",15.0,"[ [ ""諸説 (しょせつ)"", ""various opinions"" ], [ ""諸島 (しょとう)"", ""archipelago, group of islands"" ], [ ""諸君 (しょくん)"", ""Gentlemen!, Ladies!"" ], [ ""諸国 (しょこく)"", ""various countries"" ], [ ""諸般 (しょはん)"", ""circumstances"" ], [ ""諸問題 (しょもんだい)"", ""various problems"" ], [ ""諸行無常 (しょぎょうむじょう)"", ""impermanence of worldly things"" ] ]","","諸",183.0,"[ { ""chapter"" : ""6"", ""txt_bk"" : ""txtIKB"" } ]","sho(koku)","",1061.0,"gonben",4393.0,"People 者 say 言 various things.",7.0,"ショ","words, to speak, say","sho","ka_1073","へん","hen"
"にんべん",6.0,5.0,"kizu, ita, itamu, itameru","wound, injury, hurt",13.0,"[ [ ""傷害事件 (しょうがいじけん)"", ""assault [n.]"" ], [ ""損傷 (そんしょう)"", ""damage, injury"" ], [ ""重傷 (じゅうしょう)"", ""serious wound or injury"" ], [ ""中傷する (ちゅうしょうする)"", ""slander, defame"" ], [ ""負傷する (ふしょうする)"", ""be injured, be wounded"" ], [ ""傷 (きず)"", ""wound, injury, hurt, cut"" ], [ ""傷口 (きずぐち)"", ""wound"" ], [ ""傷跡 (きずあと)"", ""scar"" ], [ ""傷つける (きずつける)"", ""hurt, wound [v.t.]"" ], [ ""傷める (いためる)"", ""damage, impair, hurt [v.t.]"" ], [ ""傷む (いたむ)"", ""be damaged, go bad [v.i.]"" ], [ ""*火傷 (やけど)"", ""burn [n.]"" ] ]","きず、いた、いたむ、いためる","傷",11.0,"[ { ""chapter"" : ""8"", ""txt_bk"" : ""txtIKB"" } ]","shou-kizu","⺅",118.0,"ninben",535.0,"Wounded people イ, [5] feeling like animals [117] under the burning sun 日.",2.0,"ショウ","person ","shou","ka_1074","へん","hen"
"くさかんむり",6.0,5.0,"mu, musu, mureru, murasu","steam, evaporate",13.0,"[ [ ""蒸気 (じょうき)"", ""steam, vapour"" ], [ ""蒸発する (じょうはつする)"", ""evaporate"" ], [ ""蒸留する (じょうりゅうする)"", ""distill"" ], [ ""蒸す (むす)"", ""steam, be humid"" ], [ ""蒸し器 (むしき)"", ""steamer"" ], [ ""蒸し暑い (むしあつい)"", ""humid, sultry"" ], [ ""蒸らす (むらす)"", ""steam, cook by steam [v.t.]"" ], [ ""蒸れる (むれる)"", ""be well steamed [v.i.]"" ] ]","む、むす、むれる、むらす","蒸",71.0,"[]","mu(su)","⺾",1508.0,"kusakanmuri",4002.0,"Steam coming out [111] <span class='note'>(orig. ""sprouting"")</span> at the end 了, when water [167] is placed over 一 fire 灬.",3.0,"ジョウ","grass","jou","ka_1075","かんむり","kanmuri"
"かねへん",6.0,1.0,"hari","needle",10.0,"[ [ ""針葉樹林 (しんようじゅりん)"", ""conifer, needle-leaved tree"" ], [ ""秒針 (びょうしん)"", ""second hand"" ], [ ""長針 (ちょうしん)"", ""long  hand"" ], [ ""短針 (たんしん)"", ""hour hand"" ], [ ""指針 (ししん)"", ""pointer,  guiding principle"" ], [ ""方針 (ほうしん)"", ""objective, plan, policy"" ], [ ""検針 (けんしん)"", ""inspection of a meter"" ], [ ""羅針盤 (らしんばん)"", ""(mariner&apos;s) compass"" ], [ ""避雷針 (ひらいしん)"", ""lightning rod"" ], [ ""針 (はり)"", ""needle, fish hook, pointer, hand"" ], [ ""針金 (はりがね)"", ""wire"" ] ]","はり","針",206.0,"[]","shin-hari","",1092.0,"kanehen",4817.0,"Metal 金 requiring lots 十 of attention to make that little hole.",8.0,"シン","metal, gold, mineral","shin","ka_1076","へん","hen"
"にんべん",6.0,1.0,"n/a","benevolence, virtue, charity",4.0,"[ [ ""仁義 (じんぎ)"", ""charity &amp; rightousness"" ], [ ""仁徳 (じんとく)"", ""benevolence, goodness"" ], [ ""仁愛 (じんあい)"", ""benevolence, charity, love"" ], [ ""仁王 (におう)"", ""the two guardian Deva kings"" ] ]","","仁",11.0,"[]","(kyou)nin","⺅",11.0,"ninben",349.0,"Ideal relations between two 二 people イ.",2.0,"ジン、ニン","person ","jin, nin","ka_1077","へん","hen"
"つち",6.0,5.0,"ta, tareru, tarasu, tare","hang down, drip",8.0,"[ [ ""垂線 (すいせん)"", ""perpendicular line"" ], [ ""懸垂 (けんすい)"", ""pull-up, chinning exercise"" ], [ ""虫垂炎 (ちゅうすいえん)"", ""appendicitis"" ], [ ""垂直な (すいちょくな)"", ""vertical, perpendicular"" ], [ ""垂らす (たらす)"", ""hang, dangle, spill [v.t.]"" ], [ ""垂れる (たれる)"", ""hang, dangle, droop [v.i]"" ], [ ""垂れ (たれ)"", ""sauce, gravy, hanging"" ], [ ""雨垂れ (あまだれ)"", ""raindrops"" ] ]","た、たれる、たらす、たれ","垂",37.0,"[]","sui-ta(reru)","⼟",2219.0,"tsuchi",211.0,"Modified image of wisteria trellis with flowers [138] hanging down to the ground 土.",3.0,"スイ","earth","sui","ka_1078","",""
"すん",6.0,1.0,"n/a","a bit of, unit of length",3.0,"[ [ ""寸法 (すんぽう)"", ""measurement, size"" ], [ ""寸評 (すんぴょう)"", ""brief review, thumbnail sketch"" ], [ ""寸時 (すんじ)"", ""moment, very short time"" ], [ ""寸劇 (すんげき)"", ""short play, skit"" ], [ ""寸陰 (すんいん)"", ""brief moment"" ], [ ""一寸 (いっすん)"", ""one sun (3.03 cm), a little"" ], [ ""原寸大 (げんすんだい)"", ""actual size, full size"" ], [ ""寸前に (すんぜんに)"", ""just before"" ], [ ""寸断する (すんだんする)"", ""cut to pieces"" ] ]","","寸",49.0,"[]","sun","⼨",1864.0,"sun",1348.0,"Please view the animation in the radical field to the left.",3.0,"スン","inch, (2.25 cm)","sun","ka_1079","",""
"もんがまえ",6.0,1.0,"to, tojiru, tozasu, shi, shimeru, shimaru","close",11.0,"[ [ ""閉鎖的な (へいさてきな)"", ""unsociable, closed"" ], [ ""開閉する (かいへいする)"", ""open and close"" ], [ ""閉会する (へいかいする)"", ""close a meeting"" ], [ ""閉店する (へいてんする)"", ""close shop"" ], [ ""閉じる (とじる)"", ""close, end, shut [v.t.]"" ], [ ""閉ざす (とざす)"", ""shut, be filled with anxiety [v.t.]"" ], [ ""閉める (しめる)"", ""close [v.t.]"" ], [ ""閉まる (しまる)"", ""close [v.i.]"" ] ]","と、とじる、とざす、し、しめる、しまる","閉",208.0,"[ { ""chapter"" : ""13"", ""txt_bk"" : ""lesson"" }, { ""chapter"" : ""13"", ""txt_bk"" : ""txtBasicKanji"" }, { ""chapter"" : ""14"", ""txt_bk"" : ""macquarie"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""txtAd3"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtSFJ1"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtSFJ"" }, { ""chapter"" : ""5"", ""txt_bk"" : ""txtHarrison"" }, { ""chapter"" : ""16"", ""txt_bk"" : ""txtLookLearn"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""jtw"" }, { ""chapter"" : ""7"", ""txt_bk"" : ""jt"" } ]","hei-toji(ru)","⾨",2090.0,"mongamae",4945.0,"Gate bolt 閂 secured with a stick亅and a wedge ノ.",8.0,"ヘイ","gate, door","hei","ka_108","かまえ, もんがまえ","kamae, mongamae"
"さら",6.0,1.0,"mo, saka, moru, sakan, sakanna","prosperous, flourish, serve food",11.0,"[ [ ""盛衰 (せいすい)"", ""rise and fall"" ], [ ""隆盛 (りゅうせい)"", ""prosperity"" ], [ ""最盛期 (さいせいき)"", ""golden age"" ], [ ""盛況な (せいきょうな)"", ""successful, prosperous"" ], [ ""盛大な (せいだいな)"", ""grand, prosperous, magnificent"" ], [ ""繁盛する (はんじょうする)"", ""prosper, flourish, thrive"" ], [ ""盛る (もる)"", ""pile up, dish up, heap up"" ], [ ""山盛り (やまもり)"", ""a heap"" ], [ ""酒盛り (さかもり)"", ""drinking bout, dringking party"" ], [ ""目盛り (めもり)"", ""scale, graduatiion, point [n.]"" ], [ ""盛んな (さかんな)"", ""prosperous, flourishing"" ], [ ""働き盛り (はたらきざかり)"", ""prime of life"" ] ]","も、さか、もる、さかん、さかんな","盛",136.0,"[ { ""chapter"" : ""8"", ""txt_bk"" : ""txtIKB"" } ]","saka(nna)","⽫",1717.0,"sara",3116.0,"Plate 皿 with lots of food forming 成 a heap.",5.0,"セイ、ジョウ","plate, bowl","sei, jou","ka_1080","",""
"ごんべん",6.0,1.0,"makoto","sincerity, truth, reality, fidelity",13.0,"[ [ ""誠意 (せいい)"", ""sincerity, good faith"" ], [ ""忠誠 (ちゅうせい)"", ""loyalty, sincerity"" ], [ ""誠心誠意 (せいしんせいい)"", ""in all sincerity"" ], [ ""誠実な (せいじつな)"", ""sincere, honest, faithful"" ], [ ""誠 (まこと)"", ""truth, faith, fidelity"" ], [ ""誠に (まことに)"", ""indeed, really, truly"" ] ]","まこと","誠",183.0,"[]","sei(jitsuna)","",1023.0,"gonben",4352.0,"Words 言 that become 成 action.",7.0,"セイ","words, to speak, say","sei","ka_1081","へん","hen"
"うかんむり",6.0,1.0,"n/a","proclaim, announce",9.0,"[ [ ""宣教師 (せんきょうし)"", ""missionary"" ], [ ""宣戦布告 (せんせんふこく)"", ""proclamation of war"" ], [ ""独立宣言 (どくりつせんげん)"", ""Declaration of Independence"" ], [ ""宣言する (せんげんする)"", ""declare, proclaim, announce"" ], [ ""宣伝する (せんでんする)"", ""publicize, propagandize"" ], [ ""宣告する (せんこくする)"", ""pronounce, condemn"" ], [ ""宣誓する (せんせいする)"", ""swear and oath"" ] ]","","宣",48.0,"[ { ""chapter"" : ""10"", ""txt_bk"" : ""jtr"" } ]","sen(den)","⼧",1440.0,"ukanmuri",1301.0,"Modified image of a palace 宀 surrounded by a fence 亘, where proclamations are made.",3.0,"セン","roof, house","sen","ka_1082","かんむり","kanmuri"
"みず",6.0,1.0,"izumi","spring, fountain",9.0,"[ [ ""温泉 (おんせん)"", ""onsen, hot spring, spa"" ], [ ""冷泉 (れいせん)"", ""cold mineral spring"" ], [ ""鉱泉 (こうせん)"", ""mineral spring"" ], [ ""源泉 (げんせん)"", ""source"" ], [ ""泉 (いずみ)"", ""spring, fountain"" ] ]","いずみ","泉",109.0,"[ { ""chapter"" : ""24"", ""txt_bk"" : ""txtSFJ3"" }, { ""chapter"" : ""24"", ""txt_bk"" : ""txtSFJ"" } ]","izumi","⽔",1636.0,"mizu",3099.0,"Clear 白 water 水.",4.0,"セン","water","sen","ka_1083","",""
"き",6.0,1.0,"so, shi, someru, zome, somaru, shimiru, jimiru","dye",9.0,"[ [ ""染色 (せんしょく)"", ""staining, stain, dyeing"" ], [ ""染料 (せんりょう)"", ""dyes"" ], [ ""染色体 (せんしょくたい)"", ""chromasome"" ], [ ""伝染病 (でんせんびょう)"", ""infectious disease, epidemic"" ], [ ""染色する (せんしょくする)"", ""stain, dye"" ], [ ""感染する (かんせんする)"", ""contract, be infected [v.i.]"" ], [ ""汚染する (おせんする)"", ""pollute, contaminate [v.i.]"" ], [ ""伝染する (でんせんする)"", ""contract, be infected [v.i.]"" ], [ ""染める (そめる)"", ""dye, color [v.t.]"" ], [ ""染まる (そまる)"", ""dye [v.i.]"" ], [ ""染みる (しみる)"", ""pierce, permeate [v.i.]"" ], [ ""染み (しみ)"", ""stain, spot"" ] ]","そ、し、そめる、ぞめ、そまる、しみる、じみる","染",97.0,"[]","sen-so(meru)","⽊",1640.0,"ki",2240.0,"Liquid シ from several 九 plants and trees 木 used as dyes.",4.0,"セン","tree, wood","sen","ka_1084","",""
"くち",6.0,2.0,"yo, yoi","good",12.0,"[ [ ""善意 (ぜんい)"", ""good faith, good will"" ], [ ""善人 (ぜんにん)"", ""good people"" ], [ ""善行 (ぜんこう)"", ""good deed"" ], [ ""善悪 (ぜんあく)"", ""good and evil"" ], [ ""最善 (さいぜん)"", ""the very best"" ], [ ""親善試合 (しんぜんじあい)"", ""friendly match"" ], [ ""善良な (ぜんりょうな)"", ""virtuous, good"" ], [ ""偽善的な (ぎぜんてきな)"", ""hypocritical"" ], [ ""改善する (かいぜんする)"", ""better, improve"" ], [ ""善い (よい)"", ""good, nice, pleasant"" ] ]","よ、よい","善",34.0,"[ { ""chapter"" : ""15"", ""txt_bk"" : ""jtr"" } ]","zen-yo(i)","⼝",1501.0,"kuchi",606.0,"Eating 口 a balanced diet of meat 羊 <span class='note'>(orig. ""sheep"")</span> and vegetables [13] is good for your health.",3.0,"ゼン","mouth","zen","ka_1085","",""
"だい",6.0,2.0,"kana, kanaderu","play music",9.0,"[ [ ""吹奏楽 (すいそうがく)"", ""wind-instrument music"" ], [ ""協奏曲 (きょうそうきょく)"", ""concerto"" ], [ ""演奏会 (えんそうかい)"", ""concert"" ], [ ""二重奏 (にじゅうそう)"", ""instrumental duo"" ], [ ""合奏する (がっそうする)"", ""play in concert"" ], [ ""伴奏する (ばんそうする)"", ""accompany (music)"" ], [ ""演奏する (えんそうする)"", ""perform (music)"" ], [ ""奏でる (かなでる)"", ""play (an instrument)"" ] ]","かな、かなでる","奏",43.0,"[]","kana(deru)","⼤",1645.0,"dai",1178.0,"Beautiful music ascending [34] to the heavens 天.",3.0,"ソウ","large, big","sou","ka_1086","",""
"ころも",6.0,6.0,"yosoo, yosoou","dress, fit out, wear, pretend",12.0,"[ [ ""装置 (そうち)"", ""equipment"" ], [ ""服装 (ふくそう)"", ""dress, clothes, outfit"" ], [ ""洋装 (ようそう)"", ""Western clothing"" ], [ ""包装紙 (ほうそうし)"", ""wrapping paper"" ], [ ""仮装行列 (かそうぎょうれつ)"", ""costume parade"" ], [ ""装備する (そうびする)"", ""equip, fit out"" ], [ ""改装する (かいそうする)"", ""remodel, reorganize"" ], [ ""武装する (ぶそうする)"", ""arm [v.i.]"" ], [ ""変装する (へんそうする)"", ""disguise oneself, masquerade"" ], [ ""正装する (せいそうする)"", ""dress up, wear full dress"" ], [ ""装束 (しょうぞく)"", ""costume"" ], [ ""装う (よそおう)"", ""dress, pretend, feign"" ] ]","よそお、よそおう","装",177.0,"[ { ""chapter"" : ""11"", ""txt_bk"" : ""jtr"" } ]","(hou)sou(shi)","⾐",1725.0,"koromo",4234.0,"Attire 衣 for bodyguards or professionals 士 at the side [17].",6.0,"ソウ、ショウ","clothing","sou, shou","ka_1087","",""
